	Gene_ID	Gene_name	Query	Gene_score
1647	405753	DUOXA2	0	-9.3485
1648	2688	GH1	0	-9.4059
1649	124404	SEPT12	0	-9.4241
1650	629	CFB	0	-9.4482
1651	8818	DPM2	0	-9.4588
1652	4478	MSN	0	-9.4601
1653	640	BLK	0	-9.4629
1654	23317	DNAJC13	0	-9.4761
1655	3741	KCNA5	0	-9.4815
1656	84061	MAGT1	0	-9.4837
1657	407975	MIR17HG	0	-9.497
1658	6337	SCNN1A	0	-9.5211
1659	64321	SOX17	0	-9.5928
1660	1462	VCAN	0	-9.5985
1661	712	C1QA	0	-9.6019
1662	714	C1QC	0	-9.6019
1663	713	C1QB	0	-9.6019
1664	5784	PTPN14	0	-9.6063
1665	6884	TAF13	0	-9.6074
1666	7555	CNBP	0	-9.6246
1667	1503	CTPS1	0	-9.627
1668	80173	IFT74	0	-9.6316
1669	23093	TTLL5	0	-9.6388
1670	7369	UMOD	0	-9.6503
1671	54344	DPM3	0	-9.678
1672	4023	LPL	0	-9.6883
1673	10345	TRDN	0	-9.6993
1674	1650	DDOST	0	-9.7208
1675	53335	BCL11A	0	-9.7292
1676	6141	RPL18	0	-9.7378
1677	11224	RPL35	0	-9.7378
1678	274	BIN1	0	-9.7593
1679	65266	WNK4	0	-9.7615
1680	10194	TSHZ1	0	-9.7652
1681	755	CFAP410	0	-9.8518
1682	1286	COL4A4	0	-9.8592
1683	3587	IL10RA	0	-9.8784
1684	2318	FLNC	0	-9.8862
1685	7849	PAX8	0	-9.9001
1686	5139	PDE3A	0	-9.984
1687	84823	LMNB2	0	-10.0129
1688	8139	GAN	0	-10.0192
1689	805	CALM2	0	-10.0291
1690	57704	GBA2	0	-10.0335
1691	6235	RPS29	0	-10.0664
1692	948	CD36	0	-10.0704
1693	120892	LRRK2	0	-10.0722
1694	26058	GIGYF2	0	-10.0722
1695	1981	EIF4G1	0	-10.0722
1696	55737	VPS35	0	-10.0722
1697	915	CD3D	0	-10.0734
1698	3849	KRT2	0	-10.0828
1699	284217	LAMA1	0	-10.0876
1700	783	CACNB2	0	-10.0992
1701	3299	HSF4	0	-10.1115
1702	3990	LIPC	0	-10.1728
1703	113278	SLC52A3	0	-10.1794
1704	7018	TF	0	-10.205
1705	7259	TSPYL1	0	-10.2481
1706	54795	TRPM4	0	-10.2808
1707	91662	NLRP12	0	-10.3001
1708	1184	CLCN5	0	-10.3104
1709	11149	BVES	0	-10.3168
1710	5083	PAX9	0	-10.3191
1711	131669	UROC1	0	-10.3192
1712	2743	GLRB	0	-10.3249
1713	8547	FCN3	0	-10.3326
1714	825	CAPN3	0	-10.401
1715	57502	NLGN4X	0	-10.4114
1716	23509	POFUT1	0	-10.5038
1717	6444	SGCD	0	-10.5393
1718	3921	RPSA	0	-10.5568
1719	6529	SLC6A1	0	-10.5685
1720	388662	SLC6A17	0	-10.6211
1721	23630	KCNE5	0	-10.6302
1722	64094	SMOC2	0	-10.6465
1723	4166	CHST6	0	-10.648
1724	7080	NKX2-1	0	-10.6538
1725	258	AMBN	0	-10.6616
1726	3736	KCNA1	0	-10.674
1727	1911	PHC1	0	-10.7118
1728	10916	MAGED2	0	-10.7154
1729	5880	RAC2	0	-10.7161
1730	2741	GLRA1	0	-10.7365
1731	55145	THAP1	0	-10.7419
1732	7355	SLC35A2	0	-10.7665
1733	9662	CEP135	0	-10.7847
1734	183	AGT	0	-10.7881
1735	1636	ACE	0	-10.7881
1736	185	AGTR1	0	-10.7881
1737	958	CD40	0	-10.8342
1738	3073	HEXA	0	-10.836
1739	1413	CRYBA4	0	-10.8677
1740	64788	LMF1	0	-10.8786
1741	83959	SLC4A11	0	-10.8943
1742	5664	PSEN2	0	-10.9126
1743	80254	CEP63	0	-10.9568
1744	81857	MED25	0	-10.9627
1745	5310	PKD1	0	-10.9818
1746	4173	MCM4	0	-10.9846
1747	5078	PAX4	0	-10.9975
1748	5792	PTPRF	0	-11.0054
1749	7173	TPO	0	-11.0183
1750	1287	COL4A5	0	-11.0265
1751	27229	TUBGCP4	0	-11.0591
1752	10117	ENAM	0	-11.1281
1753	5551	PRF1	0	-11.1345
1754	3757	KCNH2	0	-11.1345
1755	9361	LONP1	1	-11.2008
1756	9276	COPB2	0	-11.2473
1757	1409	CRYAA	0	-11.2506
1758	3856	KRT8	0	-11.2709
1759	3875	KRT18	0	-11.2709
1760	10216	PRG4	0	-11.2769
1761	462	SERPINC1	0	-11.2952
1762	4902	NRTN	0	-11.3273
1763	10512	SEMA3C	0	-11.3273
1764	223117	SEMA3D	0	-11.3273
1765	5156	PDGFRA	0	-11.364
1766	346171	ZFP57	0	-11.3813
1767	4072	EPCAM	0	-11.41
1768	163786	SASS6	0	-11.4192
1769	5155	PDGFB	0	-11.432
1770	1410	CRYAB	0	-11.4511
1771	286077	FAM83H	0	-11.4807
1772	2120	ETV6	0	-11.5162
1773	3753	KCNE1	0	-11.5327
1774	57216	VANGL2	0	-11.5337
1775	51099	ABHD5	0	-11.5529
1776	1778	DYNC1H1	0	-11.5572
1777	51305	KCNK9	0	-11.5646
1778	23086	EXPH5	0	-11.6741
1779	9364	RAB28	0	-11.7393
1780	170692	ADAMTS18	0	-11.764
1781	79803	HPS6	0	-11.7766
1782	80311	KLHL15	0	-11.7798
1783	9180	OSMR	0	-11.7857
1784	1639	DCTN1	0	-11.8103
1785	10686	CLDN16	0	-11.8212
1786	114798	SLITRK1	0	-11.8422
1787	342618	SLFN14	0	-11.852
1788	2642	GCGR	0	-11.8567
1789	50506	DUOX2	0	-11.8742
1790	203286	ANKS6	0	-11.922
1791	59335	PRDM12	0	-11.9257
1792	64805	P2RY12	0	-12.0111
1793	5023	P2RX1	0	-12.0111
1794	2161	F12	0	-12.0192
1795	201294	UNC13D	0	-12.044
1796	3211	HOXB1	0	-12.0518
1797	100288687	DUX4	0	-12.0816
1798	79827	CLMP	0	-12.1075
1799	84515	MCM8	0	-12.1081
1800	10999	SLC27A4	0	-12.1406
1801	4915	NTRK2	0	-12.1723
1802	9149	DYRK1B	0	-12.2133
1803	7809	BSND	0	-12.2443
1804	25839	COG4	0	-12.2704
1805	8443	GNPAT	0	-12.2709
1806	801	CALM1	0	-12.277
1807	1813	DRD2	0	-12.3128
1808	8910	SGCE	0	-12.3128
1809	8945	BTRC	0	-12.3145
1810	1750	DLX6	0	-12.3145
1811	58513	EPS15L1	0	-12.3145
1812	7979	SEM1	0	-12.3145
1813	3229	HOXC13	0	-12.361
1814	4534	MTM1	0	-12.4434
1815	1020	CDK5	0	-12.4436
1816	285440	CYP4V2	0	-12.4541
1817	1824	DSC2	0	-12.5499
1818	415	ARSE	0	-12.5708
1819	83394	PITPNM3	0	-12.5795
1820	57679	ALS2	0	-12.5935
1821	11160	ERLIN2	0	-12.6123
1822	1761	DMRT1	0	-12.6535
1823	845	CASQ2	0	-12.6835
1824	9817	KEAP1	0	-12.6869
1825	57592	ZNF687	0	-12.6873
1826	7341	SUMO1	0	-12.7312
1827	1604	CD55	0	-12.7318
1828	710	SERPING1	0	-12.7838
1829	1540	CYLD	0	-12.7914
1830	1103	CHAT	0	-12.827
1831	78987	CRELD1	0	-12.8703
1832	4771	NF2	0	-12.9303
1833	2214	FCGR3A	0	-12.9324
1834	51206	GP6	0	-12.9694
1835	89781	HPS4	0	-12.9697
1836	11235	PDCD10	0	-12.9944
1837	83605	CCM2	0	-13.0158
1838	6155	RPL27	0	-13.0169
1839	79734	KCTD17	0	-13.0322
1840	7037	TFRC	0	-13.0738
1841	57520	HECW2	0	-13.1026
1842	6307	MSMO1	0	-13.1223
1843	79648	MCPH1	0	-13.1292
1844	8943	AP3D1	0	-13.1421
1845	3459	IFNGR1	0	-13.1562
1846	1288	COL4A6	0	-13.1617
1847	50615	IL21R	0	-13.165
1848	1441	CSF3R	0	-13.2024
1849	3313	HSPA9	1	-13.2248
1850	6340	SCNN1G	0	-13.2595
1851	122402	TDRD9	0	-13.2684
1852	254528	MEIOB	0	-13.2684
1853	402381	SOHLH1	0	-13.2684
1854	7373	COL14A1	0	-13.3008
1855	1497	CTNS	0	-13.3065
1856	57449	PLEKHG5	0	-13.3275
1857	977	CD151	0	-13.3324
1858	84062	DTNBP1	0	-13.3395
1859	831	CAST	0	-13.3574
1860	6091	ROBO1	0	-13.3963
1861	23432	GPR161	0	-13.3963
1862	641339	ZNF674	0	-13.4241
1863	3236	HOXD10	0	-13.4255
1864	11281	POU6F2	0	-13.5207
1865	3026	HABP2	0	-13.5395
1866	486	FXYD2	0	-13.6013
1867	5318	PKP2	0	-13.6072
