	Gene_ID	Gene_name	Query	Gene_score
1	514	ATP5F1E	1	39.6914
2	9439	MED23	0	2.4891
3	7991	TUSC3	0	2.4891
4	79882	ZC3H14	0	2.4891
5	139411	PTCHD1	0	1.7228
6	22866	CNKSR2	0	1.7228
7	63932	CXORF56	0	1.7228
8	79816	TLE6	0	0.7663
9	3455	IFNAR2	0	0.7663
10	174	AFP	0	0.7663
11	1557	CYP2C19	0	0.7663
12	154288	KHDC3L	0	0.7663
13	353238	PADI6	0	0.7663
14	4035	LRP1	0	0.7663
15	8556	CDC14A	0	0.7663
16	7941	PLA2G7	0	0.0
17	735	C9	0	0.0
18	64377	CHST8	0	-0.2337
19	23581	CASP14	0	-0.2337
20	2876	GPX1	0	-0.8187
21	283417	DPY19L2	0	-0.8187
22	920	CD4	0	-1.0
23	1491	CTH	0	-1.2337
24	8111	GPR68	0	-1.5556
25	2308	FOXO1	0	-1.5556
26	5081	PAX7	0	-1.5556
27	51168	MYO15A	0	-1.5556
28	4909	NTF4	0	-2.0
29	134430	WDR36	0	-2.0
30	153562	MARVELD2	0	-2.0411
31	107	ADCY1	0	-2.0411
32	9750	RIPOR2	0	-2.0411
33	3082	HGF	0	-2.0411
34	199713	NLRP7	0	-2.2337
35	152926	PPM1K	0	-2.3219
36	2013	EMP2	0	-2.4036
37	2018	EMX2	0	-2.585
38	5269	SERPINB6	0	-2.6931
39	5740	PTGIS	0	-3.0
40	3818	KLKB1	0	-3.0411
41	51293	CD320	0	-3.1406
42	5519	PPP2R1B	0	-3.1406
43	11186	RASSF1	0	-3.1406
44	1326	MAP3K8	0	-3.1406
45	7503	XIST	0	-3.4594
46	256764	WDR72	0	-3.5556
47	2660	MSTN	0	-3.5556
48	847	CAT	0	-3.6931
49	4842	NOS1	0	-3.7004
50	3117	HLA-DQA1	0	-3.7004
51	7062	TCHH	0	-3.8187
52	8323	FZD6	0	-3.9341
53	343637	RSPO4	0	-3.9886
54	5162	PDHB	0	-3.9889
55	3621	ING1	0	-4.2337
56	729	C6	0	-4.2337
57	8795	TNFRSF10B	0	-4.2337
58	730	C7	0	-4.2337
59	4439	MSH5	0	-4.3212
60	125336	LOXHD1	0	-4.5556
