	Gene_ID	Gene_name	Query	Gene_score
1	514	ATP5F1E	1	32.6887
2	84623	KIRREL3	0	1.1627
3	2036	EPB41L1	0	1.1627
4	10369	CACNG2	0	1.1627
5	2902	GRIN1	0	1.1627
6	22866	CNKSR2	0	0.7224
7	63932	CXORF56	0	0.7224
8	139411	PTCHD1	0	0.7224
9	79882	ZC3H14	0	0.4883
10	7991	TUSC3	0	0.4883
11	9439	MED23	0	0.4883
12	116369	SLC26A8	0	0.4404
13	9455	HOMER2	0	0.4404
14	1453	CSNK1D	0	0.4404
15	217	ALDH2	0	0.4404
16	102	ADAM10	0	0.4404
17	79776	ZFHX4	0	0.4404
18	64388	GREM2	0	0.4404
19	2	A2M	1	0.4404
20	51129	ANGPTL4	0	0.4404
21	1495	CTNNA1	0	0.4404
22	54894	RNF43	0	0.4404
23	6530	SLC6A2	0	0.4404
24	7941	PLA2G7	0	0.0
25	735	C9	0	0.0
26	8556	CDC14A	0	-0.2341
27	4035	LRP1	0	-0.2341
28	3455	IFNAR2	0	-0.2341
29	174	AFP	0	-0.2341
30	154288	KHDC3L	0	-0.2341
31	1557	CYP2C19	0	-0.2341
32	79816	TLE6	0	-0.2341
33	353238	PADI6	0	-0.2341
34	53947	A4GALT	0	-0.5596
35	920	CD4	0	-1.0
36	64377	CHST8	0	-1.2341
37	23581	CASP14	0	-1.2341
38	5959	RDH5	0	-1.7937
39	283417	DPY19L2	0	-1.819
40	2876	GPX1	0	-1.819
41	81027	TUBB1	0	-1.8816
42	4909	NTF4	0	-2.0
43	134430	WDR36	0	-2.0
44	347688	TUBB8	0	-2.1157
45	3053	SERPIND1	0	-2.1446
46	2700	GJA3	0	-2.1446
47	1491	CTH	0	-2.2341
48	152926	PPM1K	0	-2.3219
49	8111	GPR68	0	-2.556
50	51168	MYO15A	0	-2.556
51	5081	PAX7	0	-2.556
52	2308	FOXO1	0	-2.556
53	2018	EMX2	0	-2.585
54	5740	PTGIS	0	-3.0
55	146862	UNC45B	0	-3.0191
56	107	ADCY1	0	-3.0414
